Teste de matrizes {2,2,i,i} quadradas até 50
1: Time taken by multiplication: 25 microseconds
2: Time taken by multiplication: 44 microseconds
3: Time taken by multiplication: 98 microseconds
4: Time taken by multiplication: 197 microseconds
5: Time taken by multiplication: 364 microseconds
6: Time taken by multiplication: 619 microseconds
7: Time taken by multiplication: 965 microseconds
8: Time taken by multiplication: 1493 microseconds
9: Time taken by multiplication: 2073 microseconds
10: Time taken by multiplication: 2967 microseconds
11: Time taken by multiplication: 3956 microseconds
12: Time taken by multiplication: 5041 microseconds
13: Time taken by multiplication: 6864 microseconds
14: Time taken by multiplication: 12218 microseconds
15: Time taken by multiplication: 15237 microseconds
16: Time taken by multiplication: 19471 microseconds
17: Time taken by multiplication: 25026 microseconds
18: Time taken by multiplication: 29767 microseconds
19: Time taken by multiplication: 35545 microseconds
20: Time taken by multiplication: 42250 microseconds
21: Time taken by multiplication: 49720 microseconds
22: Time taken by multiplication: 58083 microseconds
23: Time taken by multiplication: 67576 microseconds
24: Time taken by multiplication: 77614 microseconds
25: Time taken by multiplication: 88962 microseconds
26: Time taken by multiplication: 101560 microseconds
27: Time taken by multiplication: 115315 microseconds
28: Time taken by multiplication: 112465 microseconds
29: Time taken by multiplication: 86476 microseconds
30: Time taken by multiplication: 98578 microseconds
31: Time taken by multiplication: 112591 microseconds
32: Time taken by multiplication: 131987 microseconds
33: Time taken by multiplication: 151307 microseconds
34: Time taken by multiplication: 171268 microseconds
35: Time taken by multiplication: 191584 microseconds
36: Time taken by multiplication: 211052 microseconds
37: Time taken by multiplication: 231190 microseconds
38: Time taken by multiplication: 288209 microseconds
39: Time taken by multiplication: 397815 microseconds
40: Time taken by multiplication: 283572 microseconds
41: Time taken by multiplication: 318944 microseconds
42: Time taken by multiplication: 355187 microseconds
43: Time taken by multiplication: 509457 microseconds
44: Time taken by multiplication: 577658 microseconds
45: Time taken by multiplication: 612256 microseconds
46: Time taken by multiplication: 455262 microseconds
47: Time taken by multiplication: 517774 microseconds
48: Time taken by multiplication: 566848 microseconds
49: Time taken by multiplication: 604707 microseconds
50: Time taken by multiplication: 663027 microseconds
